#NAME,MSINI,A,PER,TT,DEPTH,I,R,T14,RA,DEC,V,VURL,VREF,TEFF,RSTAR
#,mjupiter,au,day,,,deg,rjupiter,day,hr,deg,,,,k,rsun
Kepler-196 c,,0.256426,47.427737,2455049.55425,,,0.199839,5.114,18.99789999961853,42.07919999970331,,,,5128,0.782
Kepler-238 c,,0.0657332,6.155557,2454967.82322,,,0.213222,4.837,19.19313888867696,40.63781944433848,,,,5751,1.43
Kepler-49 c,,0.07889,10.9129343,2455002.84919,,,0.227293,0.119071,19.48630583339267,40.59177777767182,,,,3974,0.53
Kepler-55 c,,0.202122,42.1516418,2454971.99284,,,0.196987,0.21904,19.01122250027127,44.02644444465637,,,,4362,0.58
WASP-19 b,1.11405,0.0163152,0.78884,2455168.96801,0.0206,79.4,1.386,0.0655,9.894465833240085,-45.65916666666666,12.59,,,5500,0.99
Kepler-310 d,,0.401368,92.876125,2454978.92567,,,0.220359,7.126,19.2559611108568,46.98673888895247,,,,5797,0.876
Kepler-204 c,,0.170262,25.660593,2454988.15165,,,0.159693,4.383,19.02315000004238,41.76191944440206,,,,5812,1.238
Kepler-26 b,0,0.0902469,12.282356,2454978.8321,0.00239317,,0.320884,0.1175,18.99606638908386,46.56652777777777,,,,3933,0.59
Kepler-374 c,,0.0432285,3.282807,2454964.89972,,,0.0981354,3.309,19.60918888939752,42.37050000005299,,,,5977,0.911
Kepler-395 b,,0.0719854,7.054346,2454969.19136,,,0.0918904,1.909,19.56741111112965,45.13658888896306,,,,4262,0.556
Kepler-80 e,,0.0544864,4.645387,2454967.58736,,,0.146311,1.989,19.74083888901605,39.9787805557251,,,,4613,0.637
Kepler-83 d,,0.0585134,5.169796,2455005.631,,,0.173075,2.163,18.81549999978807,43.66563055568271,,,,4648,0.594
Kepler-167 b,,0.0524957,4.393147,2455005.86732,,,0.12936,2.412,19.51056111123827,38.34538888931274,,,,4796,0.696
Kepler-295 d,,0.204929,33.884054,2454993.00625,,,0.121331,5.373,19.02306111123827,45.36778055561913,,,,5603,0.898
Kepler-337 b,,0.043316,3.292781,2454966.00966,,,0.13739,4.767,19.33736944437027,47.16396111064487,,,,5684,1.761
Kepler-226 d,,0.0789926,8.109044,2454965.80333,,,0.108841,3.698,19.49173888895247,47.88098888927036,,,,5571,0.802
Kepler-386 b,,0.104341,12.31043,2454974.86305,,,0.124008,3.939,19.32393055544959,48.69385000016954,,,,5178,0.767
Kepler-363 c,,0.0752686,7.542427,2454965.95422,,,0.150772,4.9,18.87946944448683,41.30538888878292,,,,5593,1.485
Kepler-24 d,,0.0513038,4.244384,2454970.06411,,,0.148987,2.945,19.36088055504693,38.34375,,,,5897,1.289
Kepler-402 c,,0.0655142,6.124821,2454967.936,,,0.139174,3.467,19.22468055566152,43.35461111121707,,,,6090,1.264
WASP-18 b,10.0636,0.0201401,0.9414529,2454664.90531,0.00916,80.6,1.267,0.09089,1.623613888952467,-45.67793055534363,9.3927,,,6400,1.216
CoRoT-6 b,2.95325,0.0854177,8.886593,2454595.6144,0.0136656,89.07,1.166,0.17015,18.73816833337148,6.663194444444445,13.912,,,6090,1.025
Kepler-127 c,,0.186396,29.393195,2455042.06708,,,0.237309,7.104,19.01266944461399,46.02796111106873,,,,6106,1.359
Kepler-203 c,,0.0600193,5.370647,2455005.23697,,,0.220359,2.014,19.80600000010596,41.38803055551317,,,,5821,1.114
Kepler-79 b,,0.114456,13.485,,,,0.230858,,20.03447611106767,44.38150000042386,13.99,,,6187,1.1
Kepler-202 b,,0.0498841,4.069427,2455004.01577,,,0.145419,2.067,18.86488888846504,41.32201111104754,,,,4668,0.667
KELT-2 A b,1.52019,0.0549707,4.1137912,2455974.60335,0.00521,88.6,1.286,0.2155,6.177591667175293,30.95714722209506,8.71,,,6151,1.828
Kepler-10 b,0.0142142,0.0167573,0.837495,2454964.57375,0.000151782,84.4,0.126327,0.0753693,19.04529527770148,50.24130555576748,,,,5627,1.056
Kepler-208 e,,0.125606,16.259458,2454945.01425,,,0.132037,4.038,19.59268055597941,42.52796944406298,,,,6092,1.314
Kepler-270 c,,0.168498,25.262887,2454967.21176,,,0.157909,3.698,18.81333888901604,44.42230000019073,,,,6067,1.461
Kepler-225 c,,0.138343,18.794234,2455010.7935,,,0.164154,3.279,19.47960000038147,47.45708888901605,,,,3682,0.48
Kepler-150 d,,0.105752,12.56093,2454999.79588,,,0.248907,3.764,19.21561111132304,40.52089999993642,,,,5560,0.939
Kepler-405 b,,0.0945195,10.613839,2455196.7367599998,,,0.185565,3.538,19.42729999966092,38.34001944435968,,,,5818,0.893
Kepler-208 b,,0.0511769,4.22864,2455003.74197,,,0.145419,3.308,19.59268055597941,42.52796944406298,,,,6092,1.314
Kepler-325 d,,0.223972,38.715185,2454967.0309,,,0.248907,3.458,19.32236111111111,49.82563055568271,,,,5752,1.003
Kepler-340 c,,0.157474,22.824669,2454977.46616,,,0.300651,6.614,19.72890000025431,40.3005694444312,,,,6620,1.85
Kepler-257 b,,0.0349126,2.382667,2455003.6633,,,0.232849,1.812,19.82106944455041,46.02326111104753,,,,5180,1.037
WASP-10 b,3.19034,0.0384536,3.0927616,2454664.037295,0.02525,88.49,1.08,0.092796,23.26619416660733,31.46283333354526,12.7,,,4675,0.698
WASP-17 b,0.507667,0.0499354,3.735433,2454559.18096,0.01672,86.63,1.932,0.1843,15.99748527738783,-28.06174999978807,11.6,,,6550,1.2
HAT-P-17 b,0.530106,0.0882385,10.338523,2454801.16945,0.015264,89.2,1.01,0.1691,21.63575888898637,30.48872222211626,10.54,,,5246,0.837
Kepler-162 b,,0.0710671,6.919798,2454967.11914,,,0.11241,3.339,19.81858888891008,43.72401944425371,,,,5816,0.958
Kepler-293 c,,0.280136,54.155743,2455005.36515,,,0.34169,4.608,19.09053888903724,42.40651111125946,,,,5804,0.957
Kepler-262 c,,0.152976,21.853722,2454977.31467,,,0.146311,3.49,19.38191111140781,37.2526499999894,,,,5841,0.881
Kepler-222 b,,0.0487958,3.936981,2455002.65076,,,0.281916,1.828,19.19373888863458,46.93776944451862,,,,5433,0.869
Kepler-334 b,,0.0607596,5.470319,2454964.49467,,,0.0999197,3.041,19.14271111064487,47.11518888897366,,,,5828,1.068
Kepler-327 c,,0.0588339,5.212333,2454965.70664,,,0.0918904,2.129,19.50948888884651,44.08766944434908,,,,3799,0.492
Kepler-57 c,,0.0942979,11.6092567,2454966.99083,,,0.138158,0.0711417,19.57608555581835,44.65702777756585,,,,5145,0.73
Kepler-172 c,,0.0673847,6.388996,2455008.47434,,,0.255152,3.389,18.89123055564033,41.82186111132305,,,,5526,1.085
Kepler-400 c,,0.131115,17.340824,2454971.96655,,,0.132929,3.425,19.39630000008477,40.48003888871935,,,,5886,1.145
Kepler-220 e,,0.250899,45.902733,2454999.56251,,,0.118655,5.088,19.43373888889948,46.8957388888465,,,,4632,0.666
WASP-57 b,0.675475,0.0386362,2.838971,2455717.87811,0.01269,88,0.916,0.096,14.92133888880412,-2.057638888888889,13.04,,,5600,0.836
HAT-P-37 b,1.1719,0.0379273,2.79736,2455642.14318,0.0189888,86.9,1.178,0.0971,18.95307166655858,51.26911111116409,13.23,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,5500,0.877
Kepler-198 c,,0.264081,49.567416,2455002.54001,,,0.220359,3.668,19.37821111149258,38.69101111094157,,,,5574,0.94
Kepler-249 b,,0.0434366,3.306539,2454967.371,,,0.0972433,1.767,19.79900000042386,43.65851944446563,,,,3568,0.482
Kepler-165 b,,0.0794582,8.180848,2455009.70113,,,0.206977,2.869,18.71273055606418,47.80973888927036,,,,5211,0.77
Kepler-28 b,0,0.0581375,5.91213,2454975.6227,0.0008804,,0.320884,0.115417,19.47580194473267,42.42941666709052,,,,4590,0.7
Kepler-118 c,,0.145024,20.17202,2454974.2084,,,0.685164,3.108,19.94753888871935,41.42483055538601,,,,5274,1.094
HAT-P-32 b,0.950561,0.0344203,2.150009,2454416.14639,0.0227406,88.7,2.037,0.1292,2.069521666632758,46.68783333354526,11.44,,,6001,1.387
